"Order number is empty","Tilausta ei löytynyt annetulla numerolla"
"No order for processing found","Tilausta ei löytynyt"
"Order canceled. Failed to complete the payment.","Tilaus peruutettu. Maksu epäonnistui."
"Failed to complete the payment. Please try again or contact the customer service.","Maksu epäonnistui. Yritä uudelleen tai ota yhteyttä asiakaspalveluun"
"Payment failed","Maksu epäonnistui"
"Payment has been completed.","Maksu suoritettu."
"Payment is pending. Please confirm the payment before delivery.","Maksu on odottaa-tilassa. Varmista maksun onnistuminen ennen toimitusta."
"Order canceled. Failed to redirect to Enterpay.","Enterpayyn ohjaaminen epäonnistui. Tilaus peruutettu."
"The customer was redirected to Enterpay.","Asiakas ohjattiin Enterpayyn."
"Invalid amount for refund.","Palautettava summa on virheellinen."
"Invalid transaction ID.","Virheellinen transaktion tunnus."
"Cannot refund order with multiple tax rates. Please refund offline.","Ei voida hyvittää tilausta useilla eri alv-kannoilla. Hyvitä tilaus manuaalisesti.""
"Error refunding invoice. Please try again or refund offline.","Maksun hyvittäminen ei onnistunut. Yritä uudelleen tai hyvitä manuaalisesti."
"Invoice API connection error. Error: %1","Rajapintavirhe. Virhe: %1"
"Invoice API refund error. Error: %1","Palautuksen rajapintavirhe. Virhe: %1"
"Invoice API refund error. Errors: %1","Palautuksen rajapintavirhe. Virheet: %1"
"Invoice API refund error. Errors: Unknown error","Palautuksen rajapintavirhe. Tuntematon virhe."
"Place Order","Siirry maksamaan"
"An error occurred on the server. Please try to place the order again.","Tapahtui palvelinvirhe. Ole hyvä ja yritä uudelleen."
Enterpay,Enterpay
Enabled,Käytössä
Title,Nimi
"Merchant ID","Kauppiastunnus"
"Merchant Secret","Salainen avain"
"Merchant Secret Version","Salaisen avaimen versio"
"Test Mode","Testaustila"
"Invoice Reference Prefix","Laskun viitteen etuliite"
"Pending Order Status","Odottavan maksun tila"
"Approved Order Status","Hyväksytyn maksun tila"
"Payment from Applicable Countries","Maksu sallituista maista"
"Payment from Specific Countries","Maksu tietyistä maista"
Instructions,Ohjeet
"Minimum Order Total","Tilauksen minimisumma"
"Maximum Order Total","Tilauksen maksimisumma"
"Sort Order","Järjestys"
